Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Access Data Consulting Corp
3.2",-1,1988,"Centennial, CO",Staffing & Outsourcing,"The applications that this individual will be testing run on all of their consumer devices ndash website, laptop, iPhone, iPad, Android, Roku, SmartTv and Xbox. These are all video files. These applications are very mission critical projects. If DRM goes down, subscribers canrsquot watch their shows. This team is responsible for the design and development of the packaging of the content. The skillsets will be looking for 1. Since he is more focused on automation for this project, his preference would be someone who can ldquoprogram like a programmer,rdquo but would consider someone who is in between. Definitely needing someone with stronger automation skills than the lowest level. (Lowest level ndash I work as a manual tester, but every once in a while, would be able to change one little piece of the program, like a field from 1-10 characters) 2. Someone who has done encrypted video playback on a consumer device (iPhone, Android, iPad) will be the best fit. Encrypted video playback on set top box is the most difficult, but accounts for a relatively small percentage of what they are trying to target. 3. This individual will be able to write automated test scripts in whatever they chose. These applications are written in C 4. Automated test tools like Appium and Selenium would be great 5. If they have experience wvideo encryption or DRM (Digital Rights Management), that would be very helpful 6. Some of the tools that this team uses are Postman, JMeter, Ready API and groovy. If they have any experience with these, it would be very helpful Below is the basic job description. Job Summary The Senior System Test Engineer is responsible for leading system verification testing activities assisting in maintaining and implementing the test methods and procedures necessary for the verification of data systems and business applications. This role performs other duties as required to ensure that the products or features meets requirements and quality standards. This position is responsible for testing multiple projects at one time, in various different stages of the projects in a fast-paced environment. ESSENTIAL DUTIES AND RESPONSIBILITIES bull Participate in requirements gathering and definition, based on product knowledge and end user interaction. bull Work closely with the development team to test systems for defects using Scrum, Kanban and other AgileLean methodologies. bull Provide guidance, mentorship and leadership to System Test Engineers and Associate System Test Engineers. bull Perform extended middle tier data analysis, testing and validation using advance SQL queries and data-driven testing methodologies to create repeatable tests that leverage source to target validation. bull Perform ad hoc and exploratory testing beyond pre-existing test cases and User Stories. bull Deep understanding and utilize risk-based testing approaches. bull Enter and query defects in defect tracking database and generate test cases providing meaningful acceptance criteria in tracking database as necessary bull Consult with management to provide information regarding software readinessjeopardy items. bull Work closely with Quality Assurance (QA) Automation Engineer to maximize re-usable automation scripts on assigned project(s). bull Manage User Acceptance Testing and provide technical customer support for end users. bull Perform business and system analysis provide recommendations for process improvement. bull Author user guides and provide training to end users if necessary. bull Provide daily operational support for production application systems, while providing some off-hour support coverage for critical business needs. bull Successfully engage in multiple initiatives simultaneously and work independently. QUALIFICATIONS bull Bachelor's degree in Business or Technical field or similar discipline bull 10+ years professional experience overseeing the design, development, and implementation of quality assurance standards for software testing bull 5+ years professional experience as a lead tester for major application integration andor major application product release bull Strong knowledge and experience in system testing best practices and methodologies. bull Experience working with end-customers over the phone, email and in person. bull High level understanding of enterprise software and Service Oriented Architecture, .NET Java bull Experience with Agile development environments, specifically Scrum and Kanban bull Deep understanding of RDBMS systems and concepts. bull Hand on working knowledge of SQL is a must, NoSQL is a plus bull Strong communication and problem solving skills. bull Experience in Web Services, Soap UI or REST are preferred. bull Experience developing, executing and designing test automation highly preferred bull Extremely detail oriented with strong organizational skills with the ability to address time sensitive demands on a continuous basis. bull Excellent teamwork and interpersonal skills. bull Media and Entertainment experience preferred. bull Familiarity with device platforms is preferred (iOS, Android, connected TVs, etc.) STARZ offers a competitive compensation package and an attractive benefits program to all eligible employees including a variety of healthcare plans, dental and vision insurance, 401k, lifedisability insurance, Eligible employees will enjoy paid time off in the form of vacation and company holidays. STARZ is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability. STARZ is the ultimate destination for obsessable TV, movies and more. Characters who pull you in and stories that stay with you. From bold Original Series to the best movies, whatever you love, STARZ ignites your passions. Starz (www.starz.com), a Lionsgate company (NYSE LGF.A, LGF.B), is a leading global media and entertainment company that provides premium subscription video programming on domestic U.S. pay television networks and produces and distributes content for worldwide audiences, including its investment in the STARZ PLAY Arabia OTT service.",Automated Tester,"Englewood, CO",3.2,$10 to $25 million (USD),$33K-$68K (Glassdoor est.),Business Services,51 to 200 employees,Company - Private
"Yellowbrick Data
5.0",-1,2014,"Palo Alto, CA",Enterprise Software & Network Solutions,"Yellowbrick Data is a rapidly growing Enterprise Data Warehouse start-up headquartered in Palo Alto, CA (near the California Avenue Caltrain station) with offices also in London, United Kingdom and Salt Lake City, UT. We've been growing over 3x year-on-year and our technology is used by the world's largest insurers, credit card companies, telco's, healthcare and marketers. Our customers love our product: Most are repeat buyers, and in many cases, we've become the new standard for analytics and data warehousing in their respective enterprises. Yellowbrick is well funded having raised $173m from top-tier venture firms.

ABOUT OUR CONTENT MARKETING MANAGER

Yellowbrick is the world's only modern data warehouse for hybrid cloud. Enterprises rely on Yellowbrick to do the impossible in data analytics: get answers to the hardest business questions for improved profitability, better customer loyalty, and faster innovation in near real time, and at a fraction of the cost of alternatives.

This is a critical role in our growing marketing organization with important editorial and content marketing responsibilities. You'll be responsible for creating content and leading the editorial strategy for our owned channels, with the goal of increasing brand awareness and inbound interest. You'll write (or work with contractors to write) sticky content that demonstrates the Yellowbrick value prop for customers and industries. You'll also be a driving force in establishing the foundation for content marketing operations at the company developing collaborative workflows, upholding editorial governance, and optimizing our content and publishing cadence for social channels and our blog as we scale.

Reports to the VP Product Marketing.

A FEW THINGS WE'RE LOOKING FOR

We want someone with knowledge and passion for enterprise data warehousing and analytics, including a solid understanding of how to work closely with our product and sales teams to create compelling content for the company, help define the hybrid cloud data warehouse segment, and help build an innovative go-to-market strategy. Our content marketing manager will have impeccable writing and communications skills that carry through to easy-to-understand and compelling marketing assets. We're also looking for a self-starter who is comfortable in fast-paced environments and can multi-task with timely and organized delivery.

A FEW THINGS YOU MIGHT DO
Collaborate with our Product Marketing, Product Management, and Demand Gen teams to create high quality content that drives awareness, inbound traffic, and ultimately sales pipeline and revenue
Serve as main editorial POC owner writing customer case studies, industry briefs, white papers, and other long-form assets
Create organizational workflows and uphold editorial governance to ensure all content is consistent with our brand voice, style, and tone
Optimize our content and publishing cadence on regular basis, based on the success of our programming as measured by engagement and conversion
Upgrade and scale our channel infrastructure with SEO and content categorization best practices in mind
Build and nurture a strong freelancer network to accelerate quality content creation
REQUIREMENTS
5 -10 years of content marketing and/or editorial experience in high-growth start-up environments.
Subject matter expertise in cloud data warehousing and analytics infrastructure is a plus
Expertise in understanding data, telling stories, and executing across channels to create a customer-focused experience.
Excellent written and oral communication/presentation skills including ability to create compelling narratives for products and markets.
Yellowbrick Data is an Equal Employment Opportunity and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, marital status, protected veteran status, disability status, gender identity or any other category protected by applicable law. We hire and promote individuals solely on the basis of qualifications for the job to be filled.

To all recruitment agencies: Yellowbrick Data does not accept agency resumes. Please do not forward resumes to Yellowbrick Data employees or any other organization location. Yellowbrick Data is not responsible for any fees related to unsolicited resumes.",Content Marketing Manager,"Palo Alto, CA",5.0,Unknown / Non-Applicable,$33K-$68K (Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Technical Application Support Specialist (L3) -- Java and Unix to join our team in Salt Lake City, Utah (US-UT), United States (US).

Act as a key point of contact for operations & development teams to resolve business critical issues.
Develop deep understanding of proprietary financial applications. Actively participate in Business Continuity Planning (BCP) activities. Scripting repeat support tasks to reduce risk and bring efficiency

Job Level Specific Duties:
•Analyze and resolve application issues
•Identify defects, discrepancies, and trends by ways of code debugging or log analysis
•Manage incidents and effectively communicate with users, application owners and senior stakeholders across all areas
•Improve application stability and performance by observing patterns, recurring failures and/or issues, and advise application owners on permanent fixes accordingly
•Adopt various tools developed by Client Engineering team to automate failures using machine learning techniques and notify discrepancies in the health of production and automation of health-restoration, with a focus on continuous measurement of risk and cost.
•Identify alerts/processes that can be automated and then work with client engineering team in automating them
•Challenge existing application setup, processing and suggest different ways to solve problem or improve stability
•Actively participate in Change management process with view to manage risk in production environment
Build and improve run books for generalists to minimize operational errors and gain fungibility/efficiency
•Develop reports that provide trending statistics to track and manage application health and support service performance
•Willing to learn and troubleshoot/support proprietary technologies not available through market place. No knowledge of proprietary technologies is required pre-hire

Minimum requirements:

1 year of application support experience

3 years of core Java/J2EE development experience

3 years of Unix experience

3 years of database experience

The ideal candidate will possess:
•Exceptional system / technical analysis
• Applicationsupport experience (Production / User)
• Development experience with Java.
•Development experience with Databases
•Strong knowledge of the UNIX/Linux Operating system: shells, file systems, symbolic links, process management, etc.
•Strong problem-solving skills, ability to infer from previous examples, willingness to understand how an application is put together.
•Excellent communication skills
•Proven development/support experience in large-scale, enterprise-style financial services applications
•Collaborating with end-users to identify needs and opportunities for improved user interface
•Ability to work collaboratively in a geographically distributed team environment
•Familiarity with industry best practices around user experience theories and methodologies
•Experience in the Financial Service Industry

•Development experience, with support mindset

Minimum Education and Certifications
•Bachelor's degree (U.S. or equivalent) in Computer Science, Computer Engineering, Information Technology or a related field with 3 years of software development/production support experience

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visitnttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

#LI-NAM

INDHCLSMC",Technical Application Support Specialist (L3) -- Java and Unix,"Salt Lake City, UT",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"NTT DATA Services currently seeks aUI Developerto join our team inOaks, PA for a very exciting position with one of its key clients in the Financial Services space. This individual will work on a large scale Application Integration project with multiple team members.

Role Responsibilities

-Develop user interfaces for Modern Rich Internet Applications with the latest Front End Technologies

-Perform product analysis and development tasks of increasingly complex nature which may require extensive research and analysis

-Make design and technical decisions for AngularJS projects

-Develop application code and unit test in the AngularJS, Rest Web Services and Java technologies for the Application Development Center

-Perform requirement analysis, defining system functionality and writing code in various languages mentioned below using best practices

-Will use his knowledge of end-to-end software development life cycle (SDLC) from preliminary system analysis to tests and deployment to build world-class applications which provide best customer UI experience

-Work with the larger IT team to build high-quality, innovative and fully performing software that complies with coding standards and technical design

Required Qualifications:

-Minimum of 6 years of development experience in the following technology stack:
Software Design - UML, SOLID Principles
Markup language - HTML5 (CSS, LESS/SASS), JSON
Client-side - Javascript, JQuery
Database - SQL Server 2008, 2014
Continuous Integration and Deployment tools - Team City and Octopus or any other CICD tools
Source Control Tools - GIT/SVN
Other developer productivity Tools Resharper
Unit Testing - xUnit, MOQ
Strong expertise with HTML, CSS, and writing cross-browser compatible code.
Good understanding of AJAX and JavaScript Dom manipulation Techniques
Experience with RESTful services
Experience in JavaScript build tools like grunt or gulp
Expert in any one of the modern JavaScript MV-VM/MVC frameworks (AngularJS, JQuery, NodeJS, GruntJS)
Familiar with testing frameworks (Ex. Jasmine)
Test runner framework (Ex. Karma)
Hand on and implements complex AngularJS applications, directives, controllers, services
Preferences:

-Server-side - C#, Asp.net, MVC, REST Web API, Entity Framework, LINQ and Multithreading is nice to have

-Must have worked in an Onsite/Offshore delivery model

-Strong .NET Core is added advantage

-Should be able to perform independently with minimum support, should be able to support multiple modules at the same time and should be a taskmaster

-Excellent communication skills and must be able to perform independently and foster great relationships with the team members

-Must be flexible and have a go-getter attitude

-Bachelors' Degree in Computer Science or equivalent experience

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visitnttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

#LI-NAM

INDHCLSMC",UI Developer,"Oaks, PA",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Services
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Req ID: 94231

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Advanced Analytics Technical Program Manager to join our team in Irving, Texas (US-TX), United States (US).

Basic Qualifications:

7 years of software engineering, systems engineering or similar experience

3-5 years of project/program management experience and working directly with software development teams.

3+ years of experience organizing, planning and executing engineering to ship big data and advanced analytics solutions to production.

Preferred Skills:

• Strong analytical and quantitative skills; Data driven and results-oriented

• Communication skills and experience working with technical and business management teams.
• Organizational and coordination skills along with multi-tasking capabilities to get things done in an environment.

• Ability to motivate and focus a collaboration to reach challenging goals.

• Interpersonal skills, including relationship building and collaboration within a diverse, cross-functional team.

• Strong analytical and quantitative skills; ability to use hard data and metrics to back up assumptions and recommendations.

• Demonstrated past experience in defining and measuring team success via data-driven metrics & reporting

• Experience delivering with an agile methodology is a must.

• Experience of building and launching a new data products from the ground up and/or experience with customer facing production systems preferred.

• Bachelor’s degree in a technical discipline (preferably computer science) or equivalent experience

#INDFSINS

#L1-NAM

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Advanced Analytics Technical Program Manager,"Irving, TX",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Services
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Req ID: 94415

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Office 365 and Communications Support to join our team in Lexington, Massachusetts (US-MA), United States (US).

Roles & Responsibilities:
Ability to convey technical issues and material to a non-technical audience
Ability to work in a team oriented/collaborative environment
Ability to multitask and prioritize workload, and adapt to new processes and procedures in a fast-paced environment
Able to handle confidential information in a reliable manner
Strong documentation skills
Excellent verbal and written communication skills
Required Qualifications:
High School Diploma and minimum of 2 years of experience providing end-user support for Microsoft Technologies and network infrastructure
Experience configuring and administering Microsoft Server 2012 and 2016, Office 365
Experience troubleshooting Windows desktop environment (networking, OS, Microsoft Office suite, PC hardware, printers)
Experience using automated help desk ticketing systems like ConnectWise or Autotask
Interim or Active Secret clearance required
Preferred Qualifications:
Experience with scripting languages like PowerShell or Python is preferred
BS or matching experience preferred
About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Office 365 and Communications Support,"Lexington, MA",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Vlocity Developer

Duties & Responsibilities:
Work with Business Analysts, Senior Consultants and Project Managers on project sand support engagements.
Works with Vlocity tools and processes
Works with Salesforce Lightning Web Component
Works with Salesforce and MuleSoft Integration
Completes technical aspects on time, on budget, with deliverables of a high quality.
Balances multiple projects in a matrixed environment.
Basic Qualifications:
4 Year College Degree
6 months-plus of Vlocity development experience
Nice to haves:
Salesforce Developer Certification
Location:can be remote

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.

INDAPPS",Vlocity Developer,"Plano, TX",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"Responsibilities may include :
• Utilize Selenium, Java, Maven, Eclipse IDE, GitHub, Appium, , DevTest, TestNG and Jenkins to automate and virtualize manual test cases for middleware system(s).
• Develop and provide recommendations to the existing framework for highly visible mission critical applications.
• Support general activities such as but not limited to : provide oversight and participate in overall project/systems testing, analyze business requirements and technical documentation, document test strategies and test plans, design and execute manual middleware test cases, automate test cases and maintain of existing regression suites, conduct code reviews, peer reviews, setup and maintain test data, metrics reporting to overall platform leads and managers to ensure platform release changes are deployed into production with high quality.
• Work closely with application development leads, QA leads from other areas, and business groups to ensure successful collaboration.
• Develop original and/or complex code and/or provide coding guidance to less experienced staff.
• Lead and/or perform modeling, simulation and analysis effort.
• Verify program logic by overseeing preparation of test data, testing and debugging programs. Participate in overall system testing.
• Develop new documentation, participate in the development of department technical procedures and design user guides.
• Guide and direct less experienced staff in resolution of escalated issues.
• Provides technical consultation and support in the development of computer applications and programs.
• Analyzes business requirements, designs and writes technical specifications to design or redesign computer solutions.
• Verifies program logic by overseeing the preparation of test data, testing and debugging of programs.
• Participates in overall systems testing.
• Develops new documentation, participates in the development of department technical procedures and designs user guides.
• As an escalation point for application support and troubleshooting, provides guidance and direction to less experienced staff in resolution of escalated issues and/or complex production, application or system problems.
• Leads projects, including assignment of tasks, and provides direction and guidance to less experienced staff.
• Assures quality, security and compliance requirements are met for supported area and oversees updating and testing of the business continuation plan.:

REQUIRED SKILLS:
5+ years of RESTful or SOAP Web services
3 + years of Java experience
3+ years of Selenium experience
3+ years of PL/SQL experience
3+ years of Quality Center Experience
3+ years of Agile experience

2+ years of implementing solutions for test automation using LISA Service Virtualization (CA DevTest)

Finance experience is also highly sought.

DESIRED SKILL

3+ years of JIRA experience '
2+ years of financial services experience
3+ years of Autosys or equivalent experience
Knowledge of Apache Kafka, Apache Storm/Flink, BDD
3+ years of internet banking experience

#INDFSINS

#L1-NAM

About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.",Quality Engineer,"San Francisco, CA",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"Data Concepts Inc
5.0",-1,-1,"Ocklawaha, FL",IT Services,"Job Description
REMOTE POSITION

Data Concepts is seeking a Senior Associate for the Celebrity & Entertainment Program. The Associate will follow and implement the strategy for engaging and stewarding celebrity talent and entertainment properties in support of the of one of our clients.
Works across Marketing Departments to help identify areas where celebrity talent or branded entertainment can add a competitive advantage and help achieve fundraising, and awareness or other line of business goals.
Coordinates with national Communications, Development and other business units as well as regional offices as necessary to integrate messaging and maximize the impact of all opportunities.
Responsibilities

Key responsibilities include the following:
Support the celebrity and branded entertainment strategy for the American Red Cross within annual, organization-wide campaigns as well as in times of regionally and nationally scoped disaster preparedness, response and recovery efforts
Build and nurture relationships with celebrities and media properties (music, TV, film) to support the Red Cross
Develop processes for stewarding these relationships
Cultivate new prospects and introductions by leveraging industry contacts
Steward members of the National Celebrity Cabinet and other long time celebrity supporters and identify opportunities to keep them engaged and committed
Work with celebrities and media properties to develop PSAs
Contribute to our work with production teams, managers, publicists, etc.
Manage celebrity and entertainment partner support history
Vet potential celebrities and opportunities to ensure appropriate alignment
Provide guidance to Chapters, lines of business, and partnering functions on celebrity recruitment strategies, policies, procedures and best practices. Liaise with international partners on globally-scoped activities.
Collaborate with external agencies and/or contractors
Foster relationships with network and studio clearance teams while proactively and re-actively reviewing emblem/brand/mission integrations with scripted television shows and films, ensuring the emblem and brand services are properly licensed and portrayed accurately.
Qualifications:
Bachelor’s degree in marketing, communications, or other related field (or equivalent years of related experience) and a minimum of 5 years relevant professional experience.
Knowledge of the entertainment industry, key players and best practices for engaging celebrities, talent management and foundations, and other external parties.
Strong interpersonal and communication skills, and a comfort in dealing with all levels of talent and management.
A demonstrated ability to establish and maintain positive relationships with influential representatives of the media and entertainment industries, and other external partners, as well as staff internally.
Must be comfortable working in an environment with many changeable demands and priorities requiring scheduling flexibility and an even temperament.
Demonstrate creative thinking and strategic planning, but also act with flexibility and speed to take advantage of shorter term opportunities.
Ability to coordinate department efforts, provide overviews to communications and marketing staff, and work in a high-pressure environment marked by short deadlines.
Deep knowledge and facility with social media tools.
Ability to act discreetly and maintain confidentiality at all times.

Company Description
Data Concepts specializes in executing project solutions with expertise in Java, Microsoft, Open Source, Analytics, Cloud and Mobile technologies, AWS, and Azure. Our consulting engagements comprise firm-fixed price projects, time & material engagements, and a managed service IT staffing model.

Expertise: Java, Microsoft, Mobile, Open Source, Microservices, and Big Data
Services: Strategy, Development, UI/UX Design, Modernization, Cloud, PMO, Network Engineering, Security Engineering, and Enterprise System Administration.",(Remote) Celebrity and Entertainment Associate,"Nashville, TN",5.0,Unknown / Non-Applicable,$33K-$68K (Glassdoor est.),Information Technology,1 to 50 employees,Contract
"NTT DATA Corporation
3.3","Capgemini, Accenture, Deloitte",1967,"Tokyo, Japan",IT Services,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Healthcare Business Systems Analyst to join our team in Quincy, Massachusetts (US-MA), United States (US).

Responsibilities:
The Healthcare Business Systems Analyst will serve as a subject matter expert and provide advice and consultative services for topics related to the medical claim adjudication systems. The role actively participates on numerous cross-functional teams and projects.
The Healthcare Business Systems Analyst will utilize in-depth expertise and experience in the industry, and client operations of medical claims administration.
This role incorporates oversight of large and complex client engagements, as well as interaction with client business owners, up to and including senior-level management. A high aptitude to manage critical projects is expected. The role may allocate some work to others.
Required skills:

3-5 years' experience with Medical claim adjudication systems.
3-5 years' experience with Healthcare audit practices and processes, such as SSAE, MAR, and HEDIS.
1- 3 years of internal and external compliance requirements.
1-3 years of project management skills is required.
About NTT DATA Services

NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.

NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law.

INDHCLSMC

#LI-NAM",Healthcare Business Systems Analyst,"Quincy, MA",3.3,$10+ billion (USD),$33K-$68K (Glassdoor est.),Information Technology,10000+ employees,Company - Public
"Sisu Data
3.9",-1,-1,"San Francisco, CA",-1,"At Sisu, we're building a software platform that empowers people to make better decisions using data. Based on years of cutting-edge research at Stanford, Sisu enables users to quickly and comprehensively understand what’s driving their key metrics, so they never miss a window of opportunity to act.

Sisu leverages the massive amounts of data available within private, first-party data warehouses, which capture a real-time, structured view of organizational behavior. By monitoring the performance of key metrics like revenue, retention, and churn, and their relationships to interactions between key factors like user demographics, campaigns, and acquisition channels, we can help users make better decisions. The key problem Sisu solves is to help identify what’s driving change among this enormous feature and hypothesis space. To do so, we combine statistical analysis and machine learning at scale to provide users personalized, real-time diagnoses of changes in their metrics via an explainable, interpretable user interface.

As a machine learning engineer, you’ll have the opportunity to shape the future of machine learning on massive, structured data. Much like public search engines rely on sophisticated models for ranking and relevance over unstructured text, machine learning is integral to Sisu’s value proposition of ranking and highlighting key drivers behind metrics derived from structured data. These results inform our users on how to take action as their businesses are changing.

You will be responsible for investigating and developing state-of-the-art algorithms in Sisu’s large-scale streaming structured data context. ML engineers at Sisu deliver their features end-to-end, from Jupyter notebook prototypes to production in Rust.
Responsibilities
Deliver state-of-the-art, scalable algorithms to production for forecasting time series, personalized ranking, robust statistical analysis of key customer business metrics
Build and maintain the infrastructure for data and model management
Work closely with the Sisu design and engineering teams for ML-adjacent components, such as viz and data processing
Give talks, write blog posts, and produce peer-reviewed publications
Preferred Qualifications
Either 2+ years of full-time software engineering experience, 2+ years of professional experience with ML or quantitative analysis, or Ph.D. in Computer Science, Electrical Engineering, Statistics, Mathematics, or Physics
Proficiency with Python and experience with data processing tools (e.g., scipy, numpy, pandas, Pytorch, and Spark)
Competency with forecasting deadlines, modular design, testing, code review, and working with new codebases
Strong technical communication skills
Please note that this is a full-time, non-remote role based in San Francisco.

Sisu is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",Machine Learning Engineer,"San Francisco, CA",3.9,Unknown / Non-Applicable,$43K-$80K (Glassdoor est.),-1,Unknown,Company - Public
